train_loss,train_acc_step,epoch,step,val_acc_step,val_loss,val_acc_epoch,train_acc_epoch,test_acc_step,test_loss,test_acc_epoch
,,,400,0.65625,,,,,,
,,,401,0.75,,,,,,
,,,402,0.71875,,,,,,
,,,403,0.6875,,,,,,
,,,404,0.71875,,,,,,
,,,405,0.65625,,,,,,
,,,406,0.59375,,,,,,
,,,407,0.71875,,,,,,
,,,408,0.75,,,,,,
,,,409,0.65625,,,,,,
,,,410,0.78125,,,,,,
,,,411,0.71875,,,,,,
,,,412,0.6875,,,,,,
,,,413,0.75,,,,,,
,,,414,0.59375,,,,,,
,,,415,0.65625,,,,,,
,,,416,0.84375,,,,,,
,,,417,0.75,,,,,,
,,,418,0.59375,,,,,,
,,,419,0.625,,,,,,
,,,420,0.65625,,,,,,
,,,421,0.8125,,,,,,
,,,422,0.71875,,,,,,
,,,423,0.8125,,,,,,
,,,424,0.59375,,,,,,
,,,425,0.78125,,,,,,
,,,426,0.8125,,,,,,
,,,427,0.75,,,,,,
,,,428,0.6875,,,,,,
,,,429,0.5625,,,,,,
,,,430,0.625,,,,,,
,,,431,0.5,,,,,,
,,,432,0.625,,,,,,
,,,433,0.71875,,,,,,
,,,434,0.59375,,,,,,
,,,435,0.8125,,,,,,
,,,436,0.6875,,,,,,
,,,437,0.8125,,,,,,
,,,438,0.6875,,,,,,
,,,439,0.6875,,,,,,
,,,440,0.53125,,,,,,
,,,441,0.625,,,,,,
,,,442,0.75,,,,,,
,,,443,0.75,,,,,,
,,,444,0.84375,,,,,,
,,,445,0.78125,,,,,,
,,,446,0.71875,,,,,,
,,,447,0.59375,,,,,,
,,,448,0.71875,,,,,,
,,,449,0.6875,,,,,,
,,,450,0.65625,,,,,,
,,,451,0.625,,,,,,
,,,452,0.75,,,,,,
,,,453,0.65625,,,,,,
,,,454,0.71875,,,,,,
,,,455,0.71875,,,,,,
,,,456,0.65625,,,,,,
,,,457,0.59375,,,,,,
,,,458,0.6875,,,,,,
,,,459,0.59375,,,,,,
,,,460,0.75,,,,,,
,,,461,0.65625,,,,,,
,,,462,0.6875,,,,,,
,,,463,0.625,,,,,,
,,,464,0.625,,,,,,
,,,465,0.71875,,,,,,
,,,466,0.78125,,,,,,
,,,467,0.53125,,,,,,
,,,468,0.5625,,,,,,
,,,469,0.625,,,,,,
,,,470,0.625,,,,,,
,,2,4220,,0.8968203067779541,0.6826000213623047,,,,
,,2,4220,,,,0.69195556640625,,,
1.1958585977554321,0.625,3,4249,,,,,,,
0.5130891799926758,0.8125,3,4299,,,,,,,
0.5828868746757507,0.75,3,4349,,,,,,,
0.646125316619873,0.78125,3,4399,,,,,,,
0.7978987097740173,0.71875,3,4449,,,,,,,
0.9596938490867615,0.71875,3,4499,,,,,,,
0.978905439376831,0.71875,3,4549,,,,,,,
0.9604184627532959,0.65625,3,4599,,,,,,,
0.8080449104309082,0.65625,3,4649,,,,,,,
1.1406930685043335,0.65625,3,4699,,,,,,,
0.7966949939727783,0.65625,3,4749,,,,,,,
0.7151390314102173,0.75,3,4799,,,,,,,
0.6413009762763977,0.65625,3,4849,,,,,,,
1.1463018655776978,0.65625,3,4899,,,,,,,
0.6866423487663269,0.65625,3,4949,,,,,,,
1.0378353595733643,0.59375,3,4999,,,,,,,
0.7495134472846985,0.75,3,5049,,,,,,,
0.5394343733787537,0.78125,3,5099,,,,,,,
0.9333869814872742,0.71875,3,5149,,,,,,,
0.649286687374115,0.71875,3,5199,,,,,,,
1.246595859527588,0.6875,3,5249,,,,,,,
1.106476902961731,0.59375,3,5299,,,,,,,
0.7846339344978333,0.6875,3,5349,,,,,,,
1.086069107055664,0.71875,3,5399,,,,,,,
0.970755398273468,0.6875,3,5449,,,,,,,
0.6219804286956787,0.8125,3,5499,,,,,,,
1.0544695854187012,0.625,3,5549,,,,,,,
0.5936293601989746,0.78125,3,5599,,,,,,,
,,,471,0.84375,,,,,,
,,,472,0.71875,,,,,,
,,,473,0.75,,,,,,
,,,474,0.5625,,,,,,
,,,475,0.875,,,,,,
,,,476,0.75,,,,,,
,,,477,0.65625,,,,,,
,,,478,0.6875,,,,,,
,,,479,0.71875,,,,,,
,,,480,0.75,,,,,,
,,,481,0.71875,,,,,,
,,,482,0.625,,,,,,
,,,483,0.75,,,,,,
,,,484,0.75,,,,,,
,,,485,0.75,,,,,,
,,,486,0.71875,,,,,,
,,,487,0.65625,,,,,,
,,,488,0.78125,,,,,,
,,,489,0.78125,,,,,,
,,,490,0.65625,,,,,,
,,,491,0.75,,,,,,
,,,492,0.8125,,,,,,
,,,493,0.75,,,,,,
,,,494,0.59375,,,,,,
,,,495,0.71875,,,,,,
,,,496,0.78125,,,,,,
,,,497,0.6875,,,,,,
,,,498,0.75,,,,,,
,,,499,0.71875,,,,,,
,,,500,0.75,,,,,,
,,,501,0.625,,,,,,
,,,502,0.6875,,,,,,
,,,503,0.75,,,,,,
,,,504,0.75,,,,,,
,,,505,0.78125,,,,,,
,,,506,0.78125,,,,,,
,,,507,0.625,,,,,,
,,,508,0.84375,,,,,,
,,,509,0.78125,,,,,,
,,,510,0.6875,,,,,,
,,,511,0.78125,,,,,,
,,,512,0.625,,,,,,
,,,513,0.84375,,,,,,
,,,514,0.625,,,,,,
,,,515,0.75,,,,,,
,,,516,0.6875,,,,,,
,,,517,0.78125,,,,,,
,,,518,0.65625,,,,,,
,,,519,0.59375,,,,,,
,,,520,0.8125,,,,,,
,,,521,0.78125,,,,,,
,,,522,0.8125,,,,,,
,,,523,0.6875,,,,,,
,,,524,0.75,,,,,,
,,,525,0.84375,,,,,,
,,,526,0.6875,,,,,,
,,,527,0.6875,,,,,,
,,,528,0.78125,,,,,,
,,,529,0.71875,,,,,,
,,,530,0.71875,,,,,,
,,,531,0.6875,,,,,,
,,,532,0.71875,,,,,,
,,,533,0.71875,,,,,,
,,,534,0.8125,,,,,,
,,,535,0.78125,,,,,,
,,,536,0.8125,,,,,,
,,,537,0.8125,,,,,,
,,,538,0.8125,,,,,,
,,,539,0.6875,,,,,,
,,,540,0.53125,,,,,,
,,,541,0.8125,,,,,,
,,,542,0.59375,,,,,,
,,,543,0.84375,,,,,,
,,,544,0.65625,,,,,,
,,,545,0.8125,,,,,,
,,,546,0.78125,,,,,,
,,,547,0.78125,,,,,,
,,,548,0.6875,,,,,,
,,,549,0.78125,,,,,,
,,,550,0.75,,,,,,
,,,551,0.625,,,,,,
,,,552,0.78125,,,,,,
,,,553,0.78125,,,,,,
,,,554,0.75,,,,,,
,,,555,0.75,,,,,,
,,,556,0.84375,,,,,,
,,,557,0.8125,,,,,,
,,,558,0.6875,,,,,,
,,,559,0.71875,,,,,,
,,,560,0.84375,,,,,,
,,,561,0.71875,,,,,,
